ds,y
2014-01-03,2.859225028899328
2014-01-04,5.666634279020696
2014-01-05,3.0221794435688394
2014-01-06,8.391199036600835
2014-01-07,4.479130659121864
2014-01-09,3.726753106542018
2014-01-10,4.022311359322269
2014-01-11,2.392425796993835
2014-01-13,8.17605267531444
2014-01-14,4.1424996041091475
2014-01-15,5.016948656152848
2014-01-16,5.706990656267163
2014-01-18,4.187592009996125
2014-01-19,5.939102260499158
2014-01-20,7.891656060018338
2014-01-21,3.2675897956588007
2014-01-23,3.8505730431119236
2014-01-26,7.001473282855889
2014-01-27,6.05835187014942
2014-01-28,1.5949332262312186
2014-01-30,5.486869473092628
2014-01-31,5.6756093119726065
2014-02-01,6.15251990610877
2014-02-02,5.359628811271141
2014-02-03,4.586109683249349
2014-02-04,4.9081151851057845
2014-02-06,5.803664008065768
2014-02-07,5.200263426072649
2014-02-08,2.7447035187502458
2014-02-11,7.622859626894124
2014-02-12,4.871894163848395
2014-02-14,6.359099707832986
2014-02-15,3.1072736482868986
2014-02-16,2.306577114263583
2014-02-17,4.011107870318301
2014-02-18,3.6580077904468493
2014-02-20,4.570475216191205
2014-02-21,2.2874714551839976
2014-02-22,3.017493765335504
2014-02-23,2.51478902426987
2014-02-24,4.037280261600423
2014-02-27,3.0182762379888857
2014-03-01,7.6980976797227125
2014-03-02,5.315095817786855
2014-03-03,7.205554995022203
2014-03-04,5.917419649888071
2014-03-05,6.560410954820557
2014-03-07,7.353762022313561
2014-03-10,6.610636823583334
2014-03-11,6.82362773973232
2014-03-14,7.654229933582622
2014-03-15,5.918307660990054
2014-03-16,6.158926240994913
2014-03-17,8.284342174754645
2014-03-18,10.243799408376029
2014-03-19,6.383104527022447
2014-03-21,8.321376827929779
2014-03-22,6.142237385590023
2014-03-23,6.852310220040454
2014-03-24,4.195395806291828
2014-03-25,6.131543830429524
2014-03-26,4.984496636486561
2014-03-28,7.509227862988819
2014-03-29,6.7932878655703135
2014-03-30,7.065888304448744
2014-03-31,7.580981345226593
2014-04-01,4.794864497111459
2014-04-02,7.285888929141433
2014-04-03,5.457242345535596
2014-04-04,6.167189393372624
2014-04-05,8.57472560197736
2014-04-06,7.40955428514049
2014-04-07,6.9296830974394075
2014-04-08,7.580572193068831
2014-04-11,7.558120211646641
2014-04-12,7.556492264289134
2014-04-13,6.4608054568036195
2014-04-15,5.689413060688899
2014-04-16,3.6906778360553156
2014-04-18,6.929058740247679
2014-04-19,5.330155123396788
2014-04-20,7.132058158016194
2014-04-21,6.740944801008088
2014-04-22,5.555870074018306
2014-04-23,5.896076364261499
2014-04-25,7.775273326534086
2014-04-26,5.647451953312784
2014-04-28,7.855341556512714
2014-04-29,6.646187896919506
2014-04-30,6.9562977934412915
2014-05-02,6.228747661975911
2014-05-03,4.299079713852955
2014-05-04,5.238737199099193
2014-05-05,5.568256713648116
2014-05-06,5.5430501834633885
2014-05-07,6.996086617772102
2014-05-08,7.496080687624671
2014-05-09,5.980100217028932
2014-05-10,7.759954962920986
2014-05-11,7.404767130406688
2014-05-12,6.601020857704881
2014-05-13,6.801707860794109
2014-05-14,5.7426184984413995
2014-05-16,5.670845974409936
2014-05-17,4.529152699564175
2014-05-18,6.856407246254366
2014-05-19,4.528505101052606
2014-05-20,5.771765058196327
2014-05-21,8.35827436200977
2014-05-22,5.203621997708712
2014-05-23,5.783080289581392
2014-05-24,4.764564238138341
2014-05-25,4.791981648054898
2014-05-26,7.190463502329138
2014-05-27,7.677119705612712
2014-05-28,5.407028263405483
2014-05-30,7.563155419998251
2014-05-31,6.652475857637857
2014-06-01,8.554396486333749
2014-06-02,6.606106795344901
2014-06-03,6.609801970859411
2014-06-04,6.125278399836893
2014-06-06,7.226209737373135
2014-06-07,5.6433138823331985
2014-06-08,7.824951201048008
2014-06-09,8.605937865378397
2014-06-10,6.199595978301688
2014-06-13,2.7421295147550726
2014-06-14,5.3656956018779844
2014-06-15,6.850098623393321
2014-06-16,6.639603901431437
2014-06-17,8.13725020541881
2014-06-18,4.947340443723942
2014-06-20,7.5120437044726005
2014-06-21,8.320799403598478
2014-06-22,7.589081870846524
2014-06-23,4.704979321207582
2014-06-24,1.662409797200206
2014-06-25,6.676781148552739
2014-06-27,6.4250959025424965
2014-06-28,7.406583824736293
2014-06-29,3.8645120227570944
2014-06-30,6.6074930741116145
2014-07-01,6.400297311623783
2014-07-02,4.389002248410307
2014-07-04,5.515072555659881
2014-07-05,7.275936570274989
2014-07-06,6.94646817090835
2014-07-07,5.489739057897192
2014-07-08,6.638664643114769
2014-07-09,5.5854530397509325
2014-07-11,7.69083730901864
2014-07-12,7.581215945504497
2014-07-13,5.864244623763926
2014-07-14,5.682197860564241
2014-07-15,2.3523271848888596
2014-07-18,5.613274081134699
2014-07-19,6.136270269949188
2014-07-20,7.73490261727907
2014-07-21,7.581965277639978
2014-07-22,7.207373827406286
2014-07-23,7.868707281913473
2014-07-25,9.029093037998242
2014-07-26,8.525358563841891
2014-07-27,6.36485402174366
2014-07-28,5.268641357438035
2014-07-30,7.221718944827806
2014-08-01,5.43515329318086
2014-08-02,6.788160603296486
2014-08-03,6.17168807123643
2014-08-04,7.91722810971995
2014-08-05,7.787267497104885
2014-08-06,5.575532349649974
2014-08-08,8.283147679092481
2014-08-09,8.190544346898742
2014-08-11,6.1150529213526
2014-08-12,7.513916536773945
2014-08-15,6.737894167393495
2014-08-16,6.7500389163235255
2014-08-17,6.217288502926295
2014-08-19,7.272472000971993
2014-08-20,7.517369752231725
2014-08-22,3.1823778018280002
2014-08-23,6.3389897596282765
2014-08-24,4.106602459617603
2014-08-25,7.2811447536178155
2014-08-26,5.9075665004901206
2014-08-27,7.635849631033448
2014-08-29,6.7254207221036815
2014-08-30,4.8059863254182105
2014-08-31,4.538175317163813
2014-09-01,6.153659924268344
2014-09-02,8.087993636530191
2014-09-03,3.138966441639899
2014-09-05,5.6947551843366835
2014-09-06,4.618678536012884
2014-09-07,8.167600253624705
2014-09-08,9.563067493508594
2014-09-09,8.305134970164191
2014-09-10,7.5263017506289245
2014-09-11,4.859424732327354
2014-09-12,8.498144919522463
2014-09-13,7.15180516201215
2014-09-14,8.522124213917172
2014-09-15,4.901088249364586
2014-09-16,3.5424654356584
2014-09-17,6.711159934650827
2014-09-19,9.142022665371261
2014-09-20,8.582412980438136
2014-09-21,7.8938153274983405
2014-09-22,7.123887105507926
2014-09-23,9.27456668813285
2014-09-24,5.361104354646802
2014-09-25,5.874618322507064
2014-09-26,7.300887313091332
2014-09-27,6.652140187520964
2014-09-28,6.1970386557120865
2014-09-29,9.000861778391569
2014-09-30,6.896221014367935
2014-10-01,1.7422190236679187
2014-10-02,6.395501969891619
2014-10-03,6.761205803332314
2014-10-04,6.592699269065857
2014-10-05,5.262171919911683
2014-10-06,6.205991078315077
2014-10-07,5.473782135878778
2014-10-08,4.999857420924378
2014-10-09,5.5228998820565005
2014-10-10,7.625783347090539
2014-10-11,7.231405665883291
2014-10-12,4.086480387165299
2014-10-13,7.70218657797082
2014-10-14,8.417700758169383
2014-10-15,5.336210275482411
2014-10-16,5.274649478747834
2014-10-17,4.9204771530519915
2014-10-18,8.050676595397269
2014-10-19,6.464750284339858
2014-10-20,7.3146220709390155
2014-10-21,7.21347518710691
2014-10-22,5.4152467045749395
2014-10-24,4.0516110196351995
2014-10-25,4.652835908686288
2014-10-26,6.106755591442717
2014-10-27,3.1493113614822916
2014-10-28,7.320912063492288
2014-10-29,7.9426507532636395
2014-10-31,8.587283647003991
2014-11-01,8.462331432362175
2014-11-02,7.6626417539977245
2014-11-03,7.932061678476346
2014-11-04,8.809078617386996
2014-11-05,7.435770707830587
2014-11-06,3.799525974201
2014-11-07,7.279416761654172
2014-11-08,5.812864058544444
2014-11-09,7.362070232018484
2014-11-10,7.602678880771175
2014-11-11,9.001537006935482
2014-11-12,6.962017302329888
2014-11-14,6.9428617710921
2014-11-15,7.485391715275085
2014-11-16,7.212978968689899
2014-11-17,9.35403145472481
2014-11-18,8.133838340095702
2014-11-19,8.885591191032297
2014-11-20,6.811860928583391
2014-11-21,7.131396306534521
2014-11-22,7.00696511794939
2014-11-23,7.218382095929016
2014-11-24,8.626873443563404
2014-11-25,8.393146957820022
2014-11-26,7.442486864546467
2014-11-27,5.321350065658609
2014-11-28,7.732733031590961
2014-11-29,6.4770400529063545
2014-11-30,5.394327301466635
2014-12-01,8.63504555800251
2014-12-02,7.480320009178162
2014-12-03,6.228274289186007
2014-12-04,4.875044639789907
2014-12-05,7.994511562152043
2014-12-06,7.586792378913738
2014-12-07,6.308826773661173
2014-12-08,6.999531950565567
2014-12-09,7.328865363714877
2014-12-10,6.353214590913463
2014-12-12,8.505000056356943
2014-12-13,5.684096640539432
2014-12-14,8.941500727414553
2014-12-15,7.1431957127732115
